Title,Local Call Number,LC Call Number,Physical Availability
"Against the grain : modernism in the Midwest / Christine Fowler Shearer, William H. Robinson",ND222 .S54 2010 ,ND222 .S54 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND222 .S54 2010; (1 items out of 1 available)
Portrait of the Old West; with a biographical check list of western artists / Forword by R.W.G. Vail,ND225.M18 ,ND225 .M18 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND225.M18; (1 items out of 1 available)
"An enduring legacy : women painters of Washington, 1930-2005 / essay by David F. Martin",ND230.W3 E53 2005  and others,ND230.W3 E53 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND230.W3E53 2005; (1 items out of 1 available)
"Painting in Boston, 1950-2000 / edited by Rachel Rosenfield Lafo, Nicholas Capasso, and Jennifer Uhrhane",,ND235.B6 P35 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND235.B6P35 2002; (1 items out of 1 available)
"The Figurative fifties : New York figurative expressionism organized by Paul Schimmel and Judith Stein ; essayists, Klaus Kertess ... [and others]",ND235.N45F54 1988 ,ND235.N45 F54 1988 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND235.N45F54 1988; (1 items out of 1 available)
"New York school, the first generation: paintings of the 1940s and 1950s... With statements by the artists and critics, and a bibliography.   Edited by Maurie Tuchman",ND235.N45L65 ,ND235.N45 L65 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND235.N45L65; (1 items out of 1 available)
"Painting in New York: 1944 to 1969, by Alan Solomon. Exhibition dates: November 24, 1969-January 11, 1970, Pasadena Art Museum",,ND235.N45 S6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND235.N45S6; (1 items out of 1 available)
"Masterworks of the Taos founders / [text and design, Margaret Morris ; photography, Robert Nugent]",ND235.T36 M3 1984  and others,ND235.T36 M3 1984 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND235.T36M3 1984; (1 items out of 1 available)
"The Owens-Corning collection: an exhibition of works of art from the collection of Owens-Corning Fiberglas Corporation [at the] Toledo Museum of Art, June 21 through July 20, 1969",ND235.T6 T64  and others,ND235.T6 T64 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND235.T6T64; (1 items out of 1 available)
Grant Wood and Marvin Cone; artists of an era [by] Hazel E. Brown,ND236.B74 ,ND236 .B74 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND236.B74; (1 items out of 1 available)
"The Peale family : three generations of American artists, [exhibition] / organized by Charles H. Elam",,ND236 D4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND236.D4; (1 items out of 1 available)
"Three American painters: Kenneth Noland, Jules Olitski, Frank Stella",ND236.F7 ,ND236 .F7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND236.F7; (1 items out of 1 available)
The life in the studio,,ND236 .H3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND236.H3; (1 items out of 1 available)
Mural painters in America,ND236.P3 ,ND236 .P3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND236.P3; (1 items out of 1 available)
Highlights among the Hudson River artists,ND236.S4 ,ND236 .S4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND236.S4; (1 items out of 1 available)
Images of a golden era : paintings of historical California / by Ben Abril ; introduction by Leon G. Arnold ; editing and biography Jane Napier Neely,ND237.A27 A3 1987  and others,ND237.A27 A3 1987 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A27A3 1987; (1 items out of 1 available)
Insurgent images : the agitprop murals of Mike Alewitz / Paul Buhle and Mike Alewitz ; foreword by Martin Sheen,,ND237.A345 A4 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A345A4 2002; (1 items out of 1 available)
"""A man of genius"" : the art of Washington Allston (1779-1843) / by William H. Gerdts & Theodore E. Stebbins, Jr",ND237.A4A4 1979 ,ND237.A4 A4 1979 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A4A4 1979; (1 items out of 1 available)
"Washington Allston, secret societies, and the alchemy of Anglo-American painting / David Bjelajac",,ND237.A4 B56 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A4B56 1997; (1 items out of 1 available)
The life and letters of Washington Allston / With reproductions from Allston's pictures,,ND237.A4 E5 1969 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A4E5 1969; (1 items out of 1 available)
Washington Allston: a study of the romantic artist in America Edgar Preston Richardson,ND237.A4R5 ,ND237.A4 R5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A4R5; (1 items out of 1 available)
"A painter's psalm : the mural from Walter Anderson's cottage / by Redding S. Sugg, Jr",,ND237.A6426 S89 1992 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A6426S89 1992; (1 items out of 1 available)
Guy Anderson / essay by Bruce Guenther,,ND237.A642 A4 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A642A4 1986; (1 items out of 1 available)
Milton Avery / Barbara Haskell,ND237.A85 H37 1982  and others,ND237.A85 H37 1982 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A85 H37 1982; (1 items out of 1 available)
Milton Avery : the late paintings / Robert Hobbs,,ND237.A85 A4 2001 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.A85A4 2001; (1 items out of 1 available)
"Baca : art, collaboration & mural making / Mario Ontiveros ; foreword by Judith F. Baca",,ND237.B13 B33 2017 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B13 B33 2017; (1 items out of 1 available)
"Alice Baber : color, light and image / edited by Norton T. Dodge ; [exhibition at] St. Mary's College of Maryland Gallery, St. Mary's City, Md., 28 February thru 18 March, 1977",ND237.B17 D63 ,ND237.B17 D63 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B17D63; (1 items out of 1 available)
Diners / by John Baeder ; preface by Vincent Scully ; foreword by John Arthur,,ND237.B215 A4 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B215A4 1995; (1 items out of 1 available)
"Eldridge Bagley : son of the soil, soul of an artist / paintings by Eldridge Bagley ; preface by Gerard C. Wertkin ; text by Susan Tyler Hitchcock",,ND237.B223 A4 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B223A4 1997; (1 items out of 1 available)
Following Proust / by Susan Baker ; foreword by Richard Howard ; essays by Keith Althaus,,ND237.B2264 A4 2001 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B2264A4 2001; (1 items out of 1 available)
Poetics and politics in the art of Rudolf Baranik / David Craven,,ND237.B2613 C7 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B2613C7 1997; (0 items out of 1 available)
"Air, 24 hours : Jennifer Bartlett / by Deborah Eisenberg",,ND237.B275 A63 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B275A63 1994; (1 items out of 1 available)
Background with figures; autobiography of Cecilia Beaux,,ND237.B33 A3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B33A3; (1 items out of 1 available)
"Cecilia Beaux : portrait of an artist : an exhibition organized by the Pennsylvania Academy of the Fine Arts in cooperation with Museum of the Philadelphia Civic Center, Philadelphia, Pennsylvania, Indianapolis Museum of Art, Indianapolis, Indiana, 1974-1975",ND237.B33C4 ,ND237.B33 C4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B33C4; (1 items out of 1 available)
George Bellows revisited : new considerations of the painter's oeuvre / edited by M. Melissa Wolfe,,ND237.B45 G46 2016 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B45 G46 2016; (1 items out of 1 available)
Impressionist summers : Frank Benson's North Haven / Frank Weston Benson,,ND237.B4595 B44 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B4595 B44 2012; (1 items out of 1 available)
"George Bellows, by Peyton Boswell, Jr.; photo research and bibliography by Aimée Crane",ND237.B45B6 ,ND237.B45 B6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B45B6; (1 items out of 1 available)
George Bellows and the ashcan school of painting,ND237.B45B7 ,ND237.B45 B7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B45B7; (1 items out of 1 available)
George Bellows and urban America / Marianne Doezema,ND237.B45D6 1992 ,ND237.B45 D6 1992 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B45D6 1991; (1 items out of 1 available)
Thomas Hart Benton : discoveries and interpretations / Henry Adams,ND237.B47 A86 2015 ,ND237.B47 A845 2015  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47 A86 2015; (1 items out of 1 available)
Thomas Hart Benton and the American sound / Leo G. Mazow,,ND237.B47 M39 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47 M39 2012; (1 items out of 1 available)
An American in art; a professional and technical autobiography,,ND237.B47 A28 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47A28; (1 items out of 1 available)
An artist in America; with sixty-four illustrations in two colours,ND237.B47A3 1939 ,ND237.B47 A3 1939 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47A3 1939; (1 items out of 1 available)
An Artist in America,927.5  and others,ND237.B47 A3  1951 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47A3 1951; (1 items out of 1 available)
"Mid-America in the thirties : the regionalist art of Thomas Hart Benton, John Steuart Curry and Grant Wood : an exhibition at the Des Moines Art Center, Dec. 10, 1965-Jan. 16, 1966",,ND237.B47 A4 1965 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47A4 1965; (1 items out of 1 available)
Tom and Jack : the intertwined lives of Thomas Hart Benton and Jackson Pollock / Henry Adams,,ND237.B47 A85 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47A85 2009; (2 items out of 2 available)
"Benton, Pollock, and the politics of modernism : from regionalism to abstract expressionism / Erika Doss",ND237.B47D67 1991 ,ND237.B47 D67 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B47D67 1991; (1 items out of 1 available)
The journal / Theresa Bernstein Meyerowitz,,ND237.B54 A2 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B54A2 1991; (1 items out of 1 available)
George Caleb Bingham / Michael Edward Shapiro ... [and others],ND237.B587A4 1990 ,ND237.B587 A4 1990 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B587A4 1990; (1 items out of 1 available)
"George Caleb Bingham, river portraitist",ND237.B59M3 ,ND237 .B59M3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B59M3; (1 items out of 1 available)
George Caleb Bingham : Missouri's famed painter and forgotten politician / Paul C. Nagel,,ND237.B59 N34 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B59N34 2005; (1 items out of 1 available)
"George Caleb Bingham, the Missouri artist, 1811-1879. January 30-March 7, 1935, the Museum of modern art, New York",,ND237.B59 N4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B59N4; (1 items out of 1 available)
The painting and politics of George Caleb Bingham / Nancy Rash,ND237.B59R37 1991 ,ND237.B59 R37 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B59R37 1991; (1 items out of 1 available)
Arnold Blanch,709.73Am351M no. 18  and others,ND237.B615 A4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B615A4; (1 items out of 1 available)
"The enigma of Ralph A. Blakelock, 1847-1919. An exhibition organized by David Gebhard and Phyllis Stuurman for the Art Galleries, University of California, Santa Barbara",,ND237.B6 G4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B6G4; (1 items out of 1 available)
"Ralph Albert Blakelock, 1847-1919 : [exhibition] January 14-February 9, 1975, Sheldon Memorial Art Gallery, University of Nebraska, Lincoln, Nebraska [and] May 4-June 7, 1975, New Jersey State Museum, Trenton, New Jersey",ND237.B6N42 ,ND237.B6 N42 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B6N42; (1 items out of 1 available)
"The unknown night : the madness and genius of R.A. Blakelock, an American painter / Glyn Vincent",,ND237.B6 V55 2003 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B6V55 2003; (1 items out of 1 available)
Peter Blume / by Frank Anderson Trapp ; foreword by Malcolm Cowley,ND237.B714T7 1987 ,ND237.B714 T7 1987 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B714T7 1987; (1 items out of 1 available)
Brett : from Bloomsbury to New Mexico; a biography / Sean Hignett,ND237.B855 H54 1985  and others,ND237.B855 H54 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B855H54 1985; (1 items out of 1 available)
"The romantic vision of Michael Brophy / Rock Hushka ; content editor, Jana Stone",,ND237.B87225 H88 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B87225H87 2005; (1 items out of 1 available)
Romaine Brooks' portraits and the performance of lesbian identities / by Joseph Edward Lucchesi,ND237.B872 L8335 2000aa ,ND237.B872 L8335 2000aa ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B872L8335 2000aa; (1 items out of 1 available)
James-Paul Brown,,ND237.B8737 A4 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B8737A4 1998; (1 items out of 1 available)
"Patrick Henry Bruce, American modernist : a catalogue raisonne / William C. Agee & Barbara Rose",ND237.B876A4 1979a ,ND237.B876 A4 1979a ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B876A4 1979a; (1 items out of 1 available)
Charles Burchfield,709.73Am351M no. 13  and others,ND237.B89 A4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B89A4; (1 items out of 1 available)
Charles Burchfield / [Research by Rosalind Irvine],ND237.B89B3 ,ND237.B89 B3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B89B3; (1 items out of 2 available)
William Partridge Burpee : American marine impressionist (1846-1940) / by D. Roger Howlett ; foreword by William H. Gerdts,ND237.B97 H6 1991  and others,ND237.B97 H6 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B97H6 1991; (1 items out of 1 available)
"Ship, sea & sky : the marine art of James Edward Buttersworth / Richard B. Grassby",,ND237.B98 G73 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B98G73 1994; (1 items out of 1 available)
Jerry Bywaters : a life in art / Francine Carraro,,ND237.B99 C37 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.B99C37 1994; (1 items out of 1 available)
"Catlin's lament : Indians, Manifest Destiny, and the ethics of nature / John Hausdoerffer",,ND237.C35 H38 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C35 H38 2009; (1 items out of 1 available)
The letters of George Catlin and his family; a chronicle of the American West,ND237.C35R6 ,ND237.C35 R6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C35R6; (1 items out of 1 available)
Eve's daughter/Modern woman : a mural by Mary Cassatt / Sally Webster,,ND237.C3 A69 2004 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3A69 2004; (1 items out of 1 available)
"Mary Cassatt, 1844-1926. [Exhibition, National Gallery of Art, September 27, 1970 through November 8, 1970]",,ND237.C3 B685 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3B685; (1 items out of 1 available)
Mary Cassatt / by Nancy Hale,ND237.C3H3 ,ND237.C3 H3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3H3; (1 items out of 1 available)
Mary Cassatt : a life / Nancy Mowll Mathews,ND237.C3M28 1994 ,ND237.C3 M28 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3M28 1994; (1 items out of 1 available)
Mary Cassatt : painter of modern women / Griselda Pollock,,ND237.C3 P65 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3P65 1998; (1 items out of 1 available)
Mary Cassatt : Impressionist at home / Barbara Stern Shapiro,ND237.C3 S5 1998 ,ND237.C3 S5 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3S5 1998; (1 items out of 1 available)
American painter in Paris : a life of Mary Cassatt / by Ellen Wilson,,ND237.C3 W53 1971 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C3W53 1971; (1 items out of 1 available)
Conrad Wise Chapman : artist and soldier of the Confederacy / Ben L. Bassham,,ND237.C458 B38 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C458B38 1998; (1 items out of 1 available)
"William Merritt Chase, 1849 to 1916",ND237 .C48A2  and others,ND237 .C48A2 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C48A2; (1 items out of 1 available)
"William Merritt Chase : summers at Shinnecock 1891-1902 / Nicolai Cikovsky, Jr., D. Scott Atkinson",ND237.C48A4 1987 ,ND237.C48 A4 1987 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C48A4 1987; (1 items out of 1 available)
"William Merritt Chase, a genteel bohemian / Keith L. Bryant, Jr",,ND237.C48 B79 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C48B79 1991; (1 items out of 1 available)
"The life and art of William Merritt Chase/ by Katharine Metcalf Roof; with letters, personal reminiscences, and illustrative material; introduction by Alice Gerson Chase; with reproductions of the artist's works",ND237.C48R7 ,ND237.C48 R7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C48R7; (1 items out of 1 available)
Through the flower : my struggle as a woman artist / by Judy Chicago ; with an introduction by Anais Nin,ND237.C492A28 ,ND237.C492 A28 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C492A28; (1 items out of 1 available)
Howard Chandler Christy  / by Norris F. Schneider,ND237.C49 S3  and others,ND237.C49 S3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C49S3; (1 items out of 1 available)
Creation and renewal : views of Cotopaxi by Frederic Edwin Church / Katherine Manthorne,ND237.C52A4 1985 ,ND237.C52 A4 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C52A4 1985; (1 items out of 1 available)
"Frederic Edwin Church / Franklin Kelly, with Stephen Jay Gould, James Anthony Ryan, Debora Rindge",ND237.C52A4 1989 ,ND237.C52 A4 1989 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C52A4 1989; (1 items out of 1 available)
Treasures from Olana : landscapes by Frederic Edwin Church / essay by Kevin J. Avery ; introduction by John Wilmerding ; [foreword by George E. Pataki],,ND237.C52 A4 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C52A4 2005; (1 items out of 1 available)
Glories of the Hudson : Frederic Edwin Church's views from Olana / essay by Evelyn D. Trebilcock and Valerie A. Balint ; introduction by Kenneth John Myers ; foreword by John K. Howat,,ND237.C52 A4 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C52A4 2009; (1 items out of 1 available)
The voyage of the Icebergs : Frederic Church's Arctic masterpiece / Eleanor Jones Harvey ; with contributions by Gerald L. Carr,,ND237.C52 A64 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C52A64 2002; (1 items out of 1 available)
Frederic Edwin Church and the national landscape / Franklin Kelly,ND237.C52K45 1988 ,ND237.C52 K45 1988 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C52K45 1988; (1 items out of 1 available)
"Chuck Close : [Exhibition] February 5, 1972 - March 19, 1972",ND237.C56 A25 ,ND237.C56 A25 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C56A25; (1 items out of 1 available)
Hollywood on main street : the movie house paintings of Davis Cone / Linda Chase,ND237.C675C47 1988 ,ND237.C675 C47 1988 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C675C47 1988; (1 items out of 1 available)
Popcorn palaces : the Art Deco movie theatre paintings of Davis Cone / by Michael D. Kinerk and Dennis W. Wilhelm,,ND237.C675 K56 2001 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C675K56 2001; (1 items out of 1 available)
Lasting impressions : Colin Campbell Cooper,,ND237.C679 A4 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C679 A4 2010; (1 items out of 1 available)
Thomas Cole. Introd. and catalogue by Howard S. Merritt,759.1C676T ,ND237.C6 M4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C6M4; (1 items out of 1 available)
The life and works of Thomas Cole. Edited by Elliot S. Vesell,ND237.C6N6 1964 ,ND237.C6 N6 1964 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C6N6 1964; (1 items out of 1 available)
Along the Juniata : Thomas Cole and the dissemination of American landscape imagery / Nancy Siegel,,ND237.C6 S54 2003 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C6S54 2003; (1 items out of 1 available)
A revolution in color : the world of John Singleton Copley / Jane Kamensky,,ND237.C7 K36 2016 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C7 K36 2016; (1 items out of 1 available)
"Edward Corbett; an exhibition organized by the San Francisco Museum of Art, March 28-May 4, 1969",,ND237.C733 A44 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C733A44; (1 items out of 1 available)
"Cornell in Chicago : exhibition dates: November 17, 1973 through January 6, 1974",ND237.C74 A45 ,ND237.C74 A45 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C74A45; (1 items out of 1 available)
"John Singleton Copley, 1738-1815; [catalogue of exhibition held at] National Gallery of Art, Smithsonian Institution, Washington; Metropolitan Museum of Art, New York; Museum of Fine Arts, Boston",ND237.C7U5 ,ND237.C7 U5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C7U5; (1 items out of 1 available)
"At home and abroad : the transcendental landscapes of Christopher Pearse Cranch (1813-1892) / Nancy Stula ; with Barbara Novak, David Miller Robinson",,ND237.C8144 A4 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C8144A4 2007; (1 items out of 1 available)
John Steuart Curry and Grant Wood : a portrait of rural America / Joseph S. Czestochowski,ND237.C88A4 1981 ,ND237.C88 A4 1981 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C88A4 1981; (1 items out of 1 available)
John Steuart Curry : inventing the Middle West / Patricia Junker ; with contributions by Henry Adams ... [et al.],,ND237.C88 A4 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C88A4 1998; (1 items out of 1 available)
John Steuart Curry,709.73Am351M no. 14 ,ND237.C88 A4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C88A4; (1 items out of 1 available)
Rethinking regionalism : John Steuart Curry and the Kansas mural controversy / M. Sue Kendall,ND237.C88K4 1986 ,ND237.C88 K4 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C88K4 1986; (1 items out of 1 available)
"An American art student in Paris : the letters of Kenyon Cox, 1877-1882 / edited by H. Wayne Morgan",ND237.C8A3 1986 ,ND237.C8 A3 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C8A3 1986; (1 items out of 1 available)
"An artist of the American Renaissance : the letters of Kenyon Cox, 1883-1919 / edited by H. Wayne Morgan",,ND237.C8 A3 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C8A3 1995; (1 items out of 1 available)
Kenyon Cox : 1856-1919 : a life in American art / H. Wayne Morgan,ND237.C8M67 1994 ,ND237.C8 M67 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.C8M67 1994; (1 items out of 1 available)
Nassos Daphnis; work since 1951,,ND237.D23 A5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D23A5; (1 items out of 1 available)
"Gene Davis / editor, Donald Wall ; interviews by Walter Hopps, Barbara Rose, Donald Wall",,ND237.D3315 W34 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D3315W34; (1 items out of 1 available)
"The art of Lew Davis, a 40 year retrospective. Pref.: Jon H. Hopkins; introduction: Arthur Millier; commentary: Lew Davis",,ND237.D3325 A4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D3325A4; (1 items out of 1 available)
"Charles Deas and 1840s America / Carol Clark ; with contributions by Joan Carpenter Troccoli, Frederick E. Hoxie, and Guy Jordan ; foreword by Lewis I. Sharp and Peter H. Hassrick",,ND237.D333555 A4 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D333555 A4 2009; (1 items out of 1 available)
Stuart Davis,709.73Am351M no. 6 ,ND237.D333 A5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D333A5; (1 items out of 1 available)
Stuart Davis / Edited by Diane Kelder,ND237.D333K4 ,ND237.D333 K4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D333K4; (1 items out of 1 available)
"Willem de Kooning, by Thomas B. Hess",,ND237.D334 H42 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D334 H42; (1 items out of 1 available)
"Willem de Kooning, by Thomas B. Hess",,ND237.D334 H42 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D334H42; (1 items out of 1 available)
Amazing grace : a life of Beauford Delaney / David Leeming,,ND237.D339 L44 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D339L44 1998; (1 items out of 1 available)
"Letters of Charles Demuth, American artist, 1883-1935 / edited by Bruce Kellner for The Demuth Foundation, Lancaster, Pennsylvania",,ND237.D36 A3 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D36A3 2000; (1 items out of 1 available)
Charles Demuth : behind a laughing mask,,ND237.D36 F3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D36F3; (1 items out of 1 available)
"Charles Demuth, by Andrew Carnduff Ritchie",ND237.D36 N4  and others,ND237.D36 N4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D36N4; (1 items out of 1 available)
"Speaking for vice : homosexuality in the art of Charles Demuth, Marsden Hartley, and the first American avant-garde / Jonathan Weinberg",,ND237.D36 W45 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D36W45 1993; (1 items out of 1 available)
Stuart Davis,759.1D297ZG ,ND237.D333 G6 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D38 G6; (1 items out of 1 available)
"The lives, loves, and art of Arthur B. Davies / by Bennard B. Perlman",,ND237.D3 P45 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND237.D3P45 1998; (1 items out of 1 available)
