Title,Local Call Number,LC Call Number,Physical Availability
"""Remove not the ancient landmark"" : public monuments and moral values : discourses and comments in tribute to Rudolf Wittkower / edited by Donald Martin Reynolds",NB1450 .R46 1996  and others,NB1450 .R46 1996 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1450.R46 1996; (1 items out of 1 available)
"A glimpse at the monumental architecture and sculpture of Great Britain, from the earliest period to the eighteenth century. By Matthew Holbeche Bloxam",,NB1585 .B65 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1585.B65; (1 items out of 1 available)
Funeral monuments in post-Reformation England / Nigel Llewellyn,,NB1585 .L58 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1585.L58 2000; (1 items out of 1 available)
"Renascence; the sculptured tombs of the fifteenth century in Rome, with chapters on the previous centuries from 1100, by Gerald S. Davies. With 88 illustrations from photographs",NB1604.R7D3 ,NB1604.R7 D3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1604.R7D3; (1 items out of 1 available)
Kleinasiatische Säulensarkophage. Untersuchungen zum Sarkophagtypus und zu den figürlichen Darstellungen,NB1629.W5 ,NB1629 .W5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1629.W5; (1 items out of 1 available)
"Chinese grave-sculptures of the Han period, by Berthold Laufer.  Ten plates and fourteen text-figures",NB1665.L3 ,NB1665 .L3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1665.L3; (1 items out of 1 available)
Tomb sculpture : four lectures on its changing aspects from ancient Egypt to Bernini / Edited by H. W. Janson,NB1800 .P3  and others,NB1800 .P3 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1800.P3; (2 items out of 2 available)
Grave matters / Mark C. Taylor and Dietrich Christian Lammerts,NB1800 .T39 2002 ,NB1800 .T39 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1800.T39 2002; (1 items out of 1 available)
Arts funéraires et décors de la vie : Normandie XIIe-XVIe siècle : étude historique et archéologique de l'abbaye Notre-Dame-du-Voeu : les plates-tombes et le décor céramique dans la Normandie médiévale : état de connaissances / commissariat de l'exposition Jean-Luc Dron... [and others] ; comité scientifique et auteurs Marie-Pierre Asquier ... [and others],,NB1803.F7 A78 2003 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1803.F7 A78 2003; (1 items out of 1 available)
"Funerary arts and tomb cult : living with the dead in France, 1750-1870 / Suzanne Glover Lindsay",,NB1803.F7 L56 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1803.F7 L56 2012; (1 items out of 1 available)
Monuments and memory in early modern England / Peter Sherlock,,NB1803.G7 S54 2008 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1803.G7 S54 2008; (1 items out of 1 available)
"The silent rhetoric of the body : a history of monumental sculpture and contemporary art in England, 1720-1770 / Matthew Craske",,NB1803.G7 C73 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1803.G7C73 2007; (1 items out of 1 available)
English church monuments in the Middle Ages : history and representation / Nigel Saul,,NB1803.G7 S28 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1803.G7S28 2009; (1 items out of 1 available)
